iter	Logloss
0	0.603951995
1	0.5280518734
2	0.4485138844
3	0.3886856738
4	0.3476526623
5	0.3089949971
6	0.2787788984
7	0.2547318597
8	0.2191738764
9	0.1989258693
10	0.181016049
11	0.1680040824
12	0.1546285534
13	0.1396656358
14	0.133159974
15	0.1278358622
16	0.1217441884
17	0.1180020407
18	0.1124468346
19	0.1097459763
20	0.1076014572
21	0.1057128122
22	0.1036564863
23	0.1020732341
24	0.09939656732
25	0.09738402785
26	0.09537018439
27	0.09458845547
28	0.09289208985
29	0.09165212702
30	0.09075666657
31	0.08999682797
32	0.08918188121
33	0.08855934223
34	0.08817089613
35	0.08786347715
36	0.08751787755
37	0.08721982834
38	0.08692790021
39	0.08659049258
40	0.08622967403
41	0.08589369183
42	0.08553734949
43	0.08521228838
44	0.08501819595
45	0.08484022166
46	0.08450422973
47	0.08426808235
48	0.08403769866
49	0.08385280353
50	0.08368006939
51	0.08352159251
52	0.08342878821
53	0.08329967925
54	0.08312662843
55	0.08300501131
56	0.08289621412
57	0.08279348316
58	0.08271266905
59	0.08264748963
60	0.08250444435
61	0.08243218607
62	0.08228920045
63	0.08221453636
64	0.08216439977
65	0.08206902145
66	0.08202048992
67	0.08186940875
68	0.0817895646
69	0.08167086291
70	0.08160707364
71	0.08152006931
72	0.08147076376
73	0.08141439977
74	0.0813548072
75	0.08130274804
76	0.08122221672
77	0.08111387517
78	0.08107317787
79	0.08097175761
80	0.08091860115
81	0.08085752095
82	0.08080878885
83	0.08071474314
84	0.08067074626
85	0.08059411238
86	0.08054697327
87	0.08050476462
88	0.08043562438
89	0.08038594456
90	0.08032444673
91	0.0802619392
92	0.08018629011
93	0.08014697027
94	0.08009987418
95	0.08004681797
96	0.08000793282
97	0.07997569571
98	0.07992400963
99	0.07987901537
100	0.07985362029
101	0.07981110484
102	0.07977387523
103	0.07973831675
104	0.07968763607
105	0.07965603157
106	0.07959002182
107	0.07954481862
108	0.07951729904
109	0.07949691862
110	0.07946832545
111	0.07942600891
112	0.07940818982
113	0.07937270345
114	0.0793342692
115	0.07930170953
116	0.07926154545
117	0.0792424802
118	0.07921419991
119	0.07918566047
120	0.07915290842
121	0.07912687511
122	0.07910639045
123	0.07906201126
124	0.07902479201
125	0.07899959156
126	0.07895936038
127	0.07892993434
128	0.0788886241
129	0.07885398507
130	0.07882523865
131	0.07880308587
132	0.07877565928
133	0.07873933936
134	0.07870400637
135	0.07866724275
136	0.07863799761
137	0.07859955902
138	0.07856646188
139	0.07854482161
140	0.07851009433
141	0.07848525819
142	0.07846338988
143	0.07844871174
144	0.07841988601
145	0.07838295662
146	0.07835443945
147	0.07831603176
148	0.07829675964
149	0.07826444005
150	0.07824785244
151	0.07822236281
152	0.07818754714
153	0.0781474974
154	0.07812593953
155	0.0781039945
156	0.0780721617
157	0.0780541967
158	0.07804261423
159	0.07801823109
160	0.07799702486
161	0.07795975796
162	0.07792715519
163	0.07790908953
164	0.07788820874
165	0.07786358819
166	0.07783480036
167	0.07781760131
168	0.07778816096
169	0.07776584936
170	0.07773981343
171	0.07770901718
172	0.07767883255
173	0.07764903265
174	0.07762590028
175	0.07759601919
176	0.07757474663
177	0.07754996784
178	0.07753652452
179	0.07750624081
180	0.07747904028
181	0.07746305877
182	0.07743868113
183	0.07742443825
184	0.07740582459
185	0.07738865241
186	0.07736281165
187	0.07732748765
188	0.07729779995
189	0.07728275559
190	0.0772635937
191	0.07723659297
192	0.07719919351
193	0.07718191496
194	0.07715707444
195	0.07713665338
196	0.07711612739
197	0.07710097799
198	0.07707974056
199	0.07705956134
